id,title,year,km,fuel,transmission,engine,price,on_sale,url,photo_url,scraped_at
22578586,Volkswagen Touran 1.6 TDI-7 SEDEŽEV-SERV.KNJ.-LEANPAY DO 84 OBROKOV,2016,197000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22578586,https://images.avto.net/photo/22578586/1056093_160.jpg,2026-06-24T09:36:08
22578519,Hyundai ix35 4WD 2.0 CRDi Style,2014,158800,diesel motor,ročni menjalnik,"1995 ccm, 135 kW / 184 KM",7500,False,https://www.avto.net/Ads/details.asp?id=22578519,https://images.avto.net/photo/22578519/1054646_160.jpg,2026-06-24T09:36:08
22578510,Audi A4 quattro 2.0 TDI Business-SLO-TEMP.-BIXENON-LED-,2013,139500,diesel motor,ročni menjalnik,"1968 ccm, 130 kW / 177 KM",9985,True,https://www.avto.net/Ads/details.asp?id=22578510,https://images.avto.net/photo/22578510/1054359_160.jpg,2026-06-24T09:36:08
22578441,Volkswagen Tiguan 2.0 TDI 4motion  AVTOMATIK XENON 2XPDC ALU,2010,200000,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22578441,https://images.avto.net/photo/22578441/1053002_160.jpg,2026-06-24T09:36:08
22279086,Škoda Octavia Combi 1.6 TDI Style,2016,183000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",7900,False,https://www.avto.net/Ads/details.asp?id=22279086,https://images.avto.net/photo/22279086/1034416_160.jpg,2026-06-24T09:36:11
22578398,Citroën Berlingo 1.6 HDI MULTISPACE,2017,191308,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",8950,False,https://www.avto.net/Ads/details.asp?id=22578398,https://images.avto.net/photo/22578398/1052320_160.jpg,2026-06-24T09:36:11
22578349,Peugeot Partner Tepee 1.6 HDi Style,2015,,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",5000,False,https://www.avto.net/Ads/details.asp?id=22578349,https://images.avto.net/photo/22578349/1052305_160.jpg,2026-06-24T09:36:11
22578310,Renault Scenic 1.5 DCI X-MOD Bose EDC,2015,176692,diesel motor,avtomatski menjalnik,"1461 ccm, 81 kW / 110 KM",6490,False,https://www.avto.net/Ads/details.asp?id=22578310,https://images.avto.net/photo/22578310/1052089_160.jpg,2026-06-24T09:36:11
22578298,Renault Espace 1.6 DCI AUT.,2017,197830,diesel motor,avtomatski menjalnik,"1560 ccm, 118 kW / 160 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22578298,https://images.avto.net/photo/22578298/1051515_160.jpg,2026-06-24T09:36:11
22578263,Mitsubishi ASX 4WD 1.8 DI-D-4X4-165.000KM-PANORAMA-PDC-TEMPOMAT..,2011,165000,diesel motor,ročni menjalnik,"1798 ccm, 110 kW / 150 KM",5990,False,https://www.avto.net/Ads/details.asp?id=22578263,https://images.avto.net/photo/22578263/1051069_160.jpg,2026-06-24T09:36:11
22578118,Citroën C4 Cactus 1.5 HDi SAMO 119.015km NA KREDIT BREZ POLOGA...,2020,110090,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",6499,True,https://www.avto.net/Ads/details.asp?id=22578118,https://images.avto.net/photo/22578118/1049465_160.jpg,2026-06-24T09:36:11
22578070,Volkswagen Golf 1.6TDI Highline-LED-NAVI-PDC-MASAŽNI SEDEŽI-GRETJE,2017,189000,diesel motor,ročni menjalnik,"1598 ccm, 66 kW / 90 KM",8950,False,https://www.avto.net/Ads/details.asp?id=22578070,https://images.avto.net/photo/22578070/1049352_160.jpg,2026-06-24T09:36:11
22578060,BMW serija 2 Active Tourer: serija 2  216d Active Tourer. Navy. Vlečna kljuka.,2017,120537,diesel motor,ročni menjalnik,"1496 ccm, 85 kW / 116 KM",8490,True,https://www.avto.net/Ads/details.asp?id=22578060,https://images.avto.net/photo/22578060/1049235_160.jpg,2026-06-24T09:36:11
22577828,Ford Kuga 2.0 TDCI 103kW DPF 4x4-SLO-ALU-PDC-VELIKI SERVIS,2010,185000,diesel motor,ročni menjalnik,"1997 ccm, 103 kW / 140 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22577828,https://images.avto.net/photo/22577828/1046329_160.jpg,2026-06-24T09:36:11
22577761,Ford Kuga 2.0 DIZEL-4X4-2.LASTNIK-SLO-SERVISNA-USNJE-ODLIČNA,2017,145000,diesel motor,ročni menjalnik,"1997 ccm, 110 kW / 150 KM",9900,False,https://www.avto.net/Ads/details.asp?id=22577761,https://images.avto.net/photo/22577761/1045577_160.jpg,2026-06-24T09:36:11
22577729,BMW serija 2 Active Tourer: 214d Advantage FULLED•TEMP•KEYLESS•KAMERA•2X-PDC•,2016,109679,diesel motor,ročni menjalnik,"1496 ccm, 70 kW / 95 KM",8799,False,https://www.avto.net/Ads/details.asp?id=22577729,https://images.avto.net/photo/22577729/1044874_160.jpg,2026-06-24T09:36:11
22577687,Volkswagen Golf 1.6TDI-COMFORTLINE-LED-VELIK-SERVIS-PDC-198.000KM-,2019,198000,diesel motor,ročni menjalnik,"1598 ccm, 85 kW / 116 KM",9850,False,https://www.avto.net/Ads/details.asp?id=22577687,https://images.avto.net/photo/22577687/1045017_160.jpg,2026-06-24T09:36:11
22576609,Opel Crossland X 1.5 CDTI 75KW S S ENJOY - prvi lastnik,2019,171010,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",7490,False,https://www.avto.net/Ads/details.asp?id=22576609,https://images.avto.net/photo/22576609/1043628_160.jpg,2026-06-24T09:36:11
22576551,Fiat Panda 1.3 MULTIJET - 4X4 - VELIK SERVIS - ALU...,2014,142000,diesel motor,ročni menjalnik,"1248 ccm, 55 kW / 75 KM",7490,False,https://www.avto.net/Ads/details.asp?id=22576551,https://images.avto.net/photo/22576551/1043005_160.jpg,2026-06-24T09:36:11
22576544,Volkswagen Golf Plus Comfortline 2.0 TDI DSG,2011,177921,diesel motor,avtomatski menjalnik,"1968 ccm, 103 kW / 140 KM",5690,False,https://www.avto.net/Ads/details.asp?id=22576544,https://images.avto.net/photo/22576544/1043524_160.jpg,2026-06-24T09:36:11
22575510,Mitsubishi Outlander 4WD 2.2 DI-D Intense,2015,165000,diesel motor,ročni menjalnik,"2268 ccm, 110 kW / 150 KM",6999,False,https://www.avto.net/Ads/details.asp?id=22575510,https://images.avto.net/photo/22575510/1042636_160.jpg,2026-06-24T09:36:11
22575387,Audi A3 Sportback 1.6 TDI clean diesel Attraction,2015,175000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22575387,https://images.avto.net/photo/22575387/1042208_160.jpg,2026-06-24T09:36:11
22575258,Dodge Nitro SXT 2.8 16V CRD AVT SLO NAVI DAB RADIO BREZ POLOGA,2008,190000,diesel motor,avtomatski menjalnik,"2777 ccm, 130 kW / 177 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22575258,https://images.avto.net/photo/22575258/1040957_160.jpg,2026-06-24T09:36:11
22575183,Microcar M.GO 3 HIGHLAND DCI,2016,41990,diesel motor,avtomatski menjalnik,"492 ccm, 4 kW / 5 KM",5199,False,https://www.avto.net/Ads/details.asp?id=22575183,https://images.avto.net/photo/22575183/1040400_160.jpg,2026-06-24T09:36:11
22575047,Mercedes-Benz Citan Kombi 109 CDI BlueEFFICIENCY,2014,185000,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",7950,False,https://www.avto.net/Ads/details.asp?id=22575047,https://images.avto.net/photo/22575047/1039685_160.jpg,2026-06-24T09:36:11
22575000,Opel Insignia SportsTourer 2.0 turb D Innovation.  Start Stop,2017,175000,diesel motor,ročni menjalnik,"1956 ccm, 125 kW / 170 KM",7800,False,https://www.avto.net/Ads/details.asp?id=22575000,https://images.avto.net/photo/22575000/1067145_160.jpg,2026-06-24T09:36:11
22574954,Opel Corsa 1.3 CDTI Enjoy Easy -PDC-TEMPOMAT -37-...,2017,64500,diesel motor,ročni menjalnik,"1248 ccm, 70 kW / 95 KM",7490,False,https://www.avto.net/Ads/details.asp?id=22574954,https://images.avto.net/photo/22574954/1037823_160.jpg,2026-06-24T09:36:11
22574938,BMW serija 1: 118d|M-SPORT|LED|NAVI|BREZ POLOGA|SERVISNA,2013,175200,diesel motor,ročni menjalnik,"1995 ccm, 105 kW / 143 KM",9950,False,https://www.avto.net/Ads/details.asp?id=22574938,https://images.avto.net/photo/22574938/1037647_160.jpg,2026-06-24T09:36:11
22574923,Ford Mondeo 1.6 TDCi-NAVI-ALU-KLIMA-LEANPAY DO 84 OBROKOV,2015,192000,diesel motor,ročni menjalnik,"1560 ccm, 85 kW / 116 KM",6990,False,https://www.avto.net/Ads/details.asp?id=22574923,https://images.avto.net/photo/22574923/1037772_160.jpg,2026-06-24T09:36:11
22574849,Citroën C4 Picasso BlueHDi 120 S S Live Avt.-LED-TEMPOMAT-BREZ POLOGA,2017,178000,diesel motor,avtomatski menjalnik,"1560 ccm, 88 kW / 120 KM",8450,False,https://www.avto.net/Ads/details.asp?id=22574849,https://images.avto.net/photo/22574849/1036734_160.jpg,2026-06-24T09:36:11
22574846,Opel Insignia 1.6 CDTi...AVTOMATIK...ODLIČNA,2020,193000,diesel motor,avtomatski menjalnik,"1598 ccm, 100 kW / 136 KM",7800,False,https://www.avto.net/Ads/details.asp?id=22574846,https://images.avto.net/photo/22574846/1036869_160.jpg,2026-06-24T09:36:11
22574793,Opel Zafira 2.0 CDTI Innovation SLOVENSKA|1.LASTNIK|VZDRŽEVANA,2017,117000,diesel motor,ročni menjalnik,"1956 ccm, 125 kW / 170 KM",9990,False,https://www.avto.net/Ads/details.asp?id=22574793,https://images.avto.net/photo/22574793/1036192_160.jpg,2026-06-24T09:36:11
22574766,Renault Clio Grandtour dCi 90 Energy Limited Start   Stop...,2016,92500,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",7490,False,https://www.avto.net/Ads/details.asp?id=22574766,https://images.avto.net/photo/22574766/1035969_160.jpg,2026-06-24T09:36:11
22574752,Škoda Octavia Combi 2.0 TDI-LED-BI-XENON-PANO-NAVI-BREZ POLOGA,2014,164000,diesel motor,avtomatski menjalnik,"1968 ccm, 110 kW / 150 KM",8990,False,https://www.avto.net/Ads/details.asp?id=22574752,https://images.avto.net/photo/22574752/1035866_160.jpg,2026-06-24T09:36:11
22574696,Citroën DS3 1.6 BlueHDi S S Be Chic,2018,133000,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",6700,False,https://www.avto.net/Ads/details.asp?id=22574696,https://images.avto.net/photo/22574696/1036121_160.jpg,2026-06-24T09:36:11
22574678,Renault Captur dCi 90 Energy Dynamique LED-NAVI-TEMP-SLO-ODLIČEN,2015,155000,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",7250,False,https://www.avto.net/Ads/details.asp?id=22574678,https://images.avto.net/photo/22574678/1035357_160.jpg,2026-06-24T09:36:11
22574496,Renault Megane Energy dCi,2018,154582,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",8690,False,https://www.avto.net/Ads/details.asp?id=22574496,https://images.avto.net/photo/22574496/1033557_160.jpg,2026-06-24T09:36:11
22574446,Kia Sportage 2WD 1.7 CRDi Urban...,2013,180858,diesel motor,ročni menjalnik,"1685 ccm, 85 kW / 116 KM",6490,False,https://www.avto.net/Ads/details.asp?id=22574446,https://images.avto.net/photo/22574446/1033166_160.jpg,2026-06-24T09:36:11
22574443,Kia Sportage 2WD 1.7 CRDi Style,2012,196137,diesel motor,ročni menjalnik,"1685 ccm, 85 kW / 116 KM",6490,False,https://www.avto.net/Ads/details.asp?id=22574443,https://images.avto.net/photo/22574443/1033115_160.jpg,2026-06-24T09:36:11
22574437,Peugeot Partner ACTIVE 1.6 HDI 100 LED VELIKI SERVIS LEPO OHRANJEN,2016,191300,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",6490,True,https://www.avto.net/Ads/details.asp?id=22574437,https://images.avto.net/photo/22574437/1033383_160.jpg,2026-06-24T09:36:11
22574432,Toyota Auris 1.4 D-4D Luna - SLO - KAMERA - KLJUKA - ZELO LEPA,2013,185000,diesel motor,ročni menjalnik,"1364 ccm, 66 kW / 90 KM",7950,False,https://www.avto.net/Ads/details.asp?id=22574432,https://images.avto.net/photo/22574432/1033025_160.jpg,2026-06-24T09:36:11
22574419,Audi A1 1.6 TDI 5VRAT S-LINE,2012,,diesel motor,ročni menjalnik,"1590 ccm, 66 kW / 90 KM",7500,False,https://www.avto.net/Ads/details.asp?id=22574419,https://images.avto.net/photo/22574419/1034884_160.jpg,2026-06-24T09:36:11
22574338,Fiat 500X 1.6 Multijet AKCIJA-LEASING BREZ POLOGA,2015,193003,diesel motor,ročni menjalnik,"1598 ccm, 88 kW / 120 KM",7990,False,https://www.avto.net/Ads/details.asp?id=22574338,https://images.avto.net/photo/22574338/1032304_160.jpg,2026-06-24T09:36:11
22574233,Peugeot 2008 1.6HDI ALLURE •LEAN-PAY•KREDIT•LIZING,2015,164930,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",5350,False,https://www.avto.net/Ads/details.asp?id=22574233,https://images.avto.net/photo/22574233/1031483_160.jpg,2026-06-24T09:36:11
22574189,Mazda CX-5 4x4 REVOLUTION SLO VEL.SERVIS NOVE GUME 2x ALU TOP,2014,198000,diesel motor,ročni menjalnik,"2191 ccm, 110 kW / 150 KM",8490,True,https://www.avto.net/Ads/details.asp?id=22574189,https://images.avto.net/photo/22574189/1030946_160.jpg,2026-06-24T09:36:11
22574049,Volkswagen Golf 1.6 TDI SLO-ALU+110 KM-V. SERV.+KOT NOV,2015,185000,diesel motor,ročni menjalnik,"1598 ccm, 81 kW / 110 KM",8150,False,https://www.avto.net/Ads/details.asp?id=22574049,https://images.avto.net/photo/22574049/1028861_160.jpg,2026-06-24T09:36:11
