id,title,year,km,fuel,transmission,engine,price,url,photo_url
22570741,Renault Espace,2015,175000 km,diesel motor,avtomatski menjalnik,"1598 ccm, 118 kW / 160 KM",6.500 €,https://www.avto.net/Ads/details.asp?id=22570741,https://images.avto.net/photo/22570741/1042920_160.jpg
22570691,Volkswagen Golf Variant 2.0-TDI-SLO-R-LINE-1-LASTNIK-1-BARVA-ACC-LED-FRONT,2015,196500 km,diesel motor,ročni menjalnik,"1968 ccm, 110 kW / 150 KM",8.500 €,https://www.avto.net/Ads/details.asp?id=22570691,https://images.avto.net/photo/22570691/1040943_160.jpg
22524921,Opel Crossland 1.5D LED |KAMERA|LITA PLAT.|ANDROID AUTO|AVT.KLIMA,2020,121436 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",9.990 €,https://www.avto.net/Ads/details.asp?id=22524921,https://images.avto.net/photo/22524921/1039800_160.jpg
22570636,Peugeot 208 1.5 BLUEHDI 100 ACTIVE...,2021,135941 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",9.250 €,https://www.avto.net/Ads/details.asp?id=22570636,https://images.avto.net/photo/22570636/1040457_160.jpg
22570594,Kia Ceed SW 1.6 DIZEL-GT LINE-PERLA BELA-LED-NAVI-SLOVENSKA,2018,179950 km,diesel motor,ročni menjalnik,"1582 ccm, 100 kW / 136 KM",8.490 €,https://www.avto.net/Ads/details.asp?id=22570594,https://images.avto.net/photo/22570594/1040132_160.jpg
22570578,Renault Talisman Grandtour dCi130 Zen Led luči Bose Keyless Kljuka.,2016,171000 km,diesel motor,ročni menjalnik,"1598 ccm, 96 kW / 131 KM",8.850 €,https://www.avto.net/Ads/details.asp?id=22570578,https://images.avto.net/photo/22570578/1040168_160.jpg
22474864,Renault Megane dCi-Energy-2LASTNICA-ODLIČEN-LED-PDC-NAVI-KREDIT,2016,185641 km,diesel motor,ročni menjalnik,"1461 ccm, 66 kW / 90 KM",6.999 €,https://www.avto.net/Ads/details.asp?id=22474864,https://images.avto.net/photo/22474864/1045397_160.jpg
22570322,Volkswagen Golf Sportsvan 1.6 TDI BMT Comfortline DSG 1.LAST SLO PDC TEMP...,2016,187428 km,diesel motor,avtomatski menjalnik,"1598 ccm, 81 kW / 110 KM",9.490 €,https://www.avto.net/Ads/details.asp?id=22570322,https://images.avto.net/photo/22570322/1037946_160.jpg
22570181,Fiat 500L 1.3 Multijet 16v PANORAMA+GRET.SEDEŽEV+TEMPOMAT,2014,62804 km,diesel motor,ročni menjalnik,"1248 ccm, 62 kW / 84 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22570181,https://images.avto.net/photo/22570181/1036845_160.jpg
22570177,Citroën C3 1.5 BlueHDi 100 S S + velik servis zimske gume vin,2019,145000 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",7.600 €,https://www.avto.net/Ads/details.asp?id=22570177,https://images.avto.net/photo/22570177/1037130_160.jpg
22570123,Peugeot Partner Tepee 1.6 BlueHDi 120 Allure -SLO-JAMSTVO-NAVI,2018,129500 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",9.980 €,https://www.avto.net/Ads/details.asp?id=22570123,https://images.avto.net/photo/22570123/1036456_160.jpg
22570086,Citroën Berlingo BlueHDi 120 S S Shine - SLO - 1.LASTNIK - JAMSTVO,2017,127500 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",9.980 €,https://www.avto.net/Ads/details.asp?id=22570086,https://images.avto.net/photo/22570086/1036103_160.jpg
22522778,Peugeot Partner Tepee 1.6 HDi-LEANPAY-SLO POREKLO-KLIMA-VL.KLJUKA,2012,177900 km,diesel motor,ročni menjalnik,"1560 ccm, 68 kW / 92 KM",5.990 €,https://www.avto.net/Ads/details.asp?id=22522778,https://images.avto.net/photo/22522778/1070021_160.jpg
22570051,Citroën Berlingo BlueHDi 100 Shine - SLO - 1.LASTNIK- JAMSTVO,2018,123500 km,diesel motor,ročni menjalnik,"1560 ccm, 73 kW / 99 KM",9.980 €,https://www.avto.net/Ads/details.asp?id=22570051,https://images.avto.net/photo/22570051/1035828_160.jpg
22017217,Peugeot 308 1.5 BlueHDi 130-NAVI-LED-2XPDC-ALU-ODLIČEN-...,2020,180500 km,diesel motor,ročni menjalnik,"1499 ccm, 96 kW / 131 KM",7.890 €,https://www.avto.net/Ads/details.asp?id=22017217,https://images.avto.net/photo/22017217/1051905_160.jpg
22569968,BMW serija 2 Active Tourer: serija 2  216d Active Tourer,2016,190000 km,diesel motor,ročni menjalnik,"1496 ccm, 85 kW / 116 KM",9.600 €,https://www.avto.net/Ads/details.asp?id=22569968,https://images.avto.net/photo/22569968/1035436_160.jpg
22569950,Peugeot 308 SW 2.0 BlueHDI Active Avtomatik Navigacija,2016,192625 km,diesel motor,avtomatski menjalnik,"1997 ccm, 110 kW / 150 KM",5.900 €,https://www.avto.net/Ads/details.asp?id=22569950,https://images.avto.net/photo/22569950/1035539_160.jpg
22569935,Nissan Juke 1.5 dCi Tekna,2013,184370 km,diesel motor,ročni menjalnik,"1461 ccm, 81 kW / 110 KM",5.790 €,https://www.avto.net/Ads/details.asp?id=22569935,https://images.avto.net/photo/22569935/1034934_160.jpg
22569915,Volkswagen CrossTouran 1.9 TDI DPF,2007,,diesel motor,ročni menjalnik,"1896 ccm, 77 kW / 105 KM",5.400 €,https://www.avto.net/Ads/details.asp?id=22569915,https://images.avto.net/photo/22569915/1034514_160.jpg
22569861,Ford Fiesta 1.5 TDCi Titanium,2017,106000 km,diesel motor,ročni menjalnik,"1499 ccm, 55 kW / 75 KM",6.500 €,https://www.avto.net/Ads/details.asp?id=22569861,https://images.avto.net/photo/22569861/1034135_160.jpg
22569850,Volkswagen Polo 1.4 TDI BMT Comfort Edition KREDIT BREZ POLOGA,2017,185000 km,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",7.450 €,https://www.avto.net/Ads/details.asp?id=22569850,https://images.avto.net/photo/22569850/1033804_160.jpg
22569833,Volkswagen Polo 1.4 TDI BMT Comfort Edition,2017,195000 km,diesel motor,ročni menjalnik,"1422 ccm, 66 kW / 90 KM",5.700 €,https://www.avto.net/Ads/details.asp?id=22569833,https://images.avto.net/photo/22569833/1033781_160.jpg
22569830,Volkswagen Golf TDI BREZ POLOGA-LEANPAY,2011,185000 km,diesel motor,ročni menjalnik,"1598 ccm, 77 kW / 105 KM",5.480 €,https://www.avto.net/Ads/details.asp?id=22569830,https://images.avto.net/photo/22569830/1033568_160.jpg
22238946,Citroën C3 MODIFICIRAN-111000KM-BlueHDi-NAVI-LED-PDC-TEMPOM..,2021,111657 km,diesel motor,ročni menjalnik,"1499 ccm, 75 kW / 102 KM",8.690 €,https://www.avto.net/Ads/details.asp?id=22238946,https://images.avto.net/photo/22238946/1047292_160.jpg
22569787,Citroën Berlingo BlueHDi 120-VSA OPREMA- REDNO SERVISIRAN-ODLIČEN,2018,169185 km,diesel motor,ročni menjalnik,"1560 ccm, 88 kW / 120 KM",8.490 €,https://www.avto.net/Ads/details.asp?id=22569787,https://images.avto.net/photo/22569787/1033332_160.jpg
22569726,Opel Astra TDCI  Business Edition avtomatic 1.lastniki,2021,145676 km,diesel motor,avtomatski menjalnik,"1496 ccm, 90 kW / 122 KM",8.990 €,https://www.avto.net/Ads/details.asp?id=22569726,https://images.avto.net/photo/22569726/1032895_160.jpg
22569687,Renault Grand Scenic Blue dCi XENON-LED.NAVI.PRIKLOP.SLOVENSKI,2019,151815 km,diesel motor,ročni menjalnik,"1749 ccm, 88 kW / 120 KM",9.999 €,https://www.avto.net/Ads/details.asp?id=22569687,https://images.avto.net/photo/22569687/1032738_160.jpg
22569606,Volvo V40 2.0 TD -NAVI-LED-KAMERA-VIRTUAL-LANE ASIST-TEMPO,2016,175000 km,diesel motor,ročni menjalnik,"1969 ccm, 88 kW / 120 KM",7.000 €,https://www.avto.net/Ads/details.asp?id=22569606,https://images.avto.net/photo/22569606/1030855_160.jpg
